,Unnamed: 0,CASENUM,non_motorist,CASENUM_VEH_NO,distraction,region,weight,person involved,age,sex,alcohol,dow,hr,interstate hwy,population class,collision,injury,min,month,specific location,relation to road,intersection type,work zone,year,speed,speed limit,crash type,make,lanes,vehicle occupants,area of impact,distracted_binary
0,0,201010425911.0,0,201010425911.01.0,0.0,1.0,298.606,1.0,15_24,M,95.0,7.0,afternoon,0.0,1.0,rear_end,none,55.0,1.0,8.0,roadway,0.0,0.0,2010.0,998.0,no_limit,92.0,7.0,2.0,1,26.0,0
1,1,201010425911.0,0,201010425911.02.0,0.0,1.0,298.606,1.0,35_44,M,95.0,7.0,afternoon,0.0,1.0,rear_end,none,55.0,1.0,8.0,roadway,0.0,0.0,2010.0,0.0,no_limit,93.0,34.0,2.0,3,26.0,0
2,2,201010425916.0,0,201010425916.01.0,0.0,1.0,27.146,1.0,15_24,F,95.0,6.0,late_night,0.0,1.0,not_motor_vehicle,incap,32.0,1.0,1.0,roadside,0.0,0.0,2010.0,998.0,N/R,7.0,55.0,2.0,2,55.0,0
3,3,201010425917.0,0,201010425917.01.0,0.0,1.0,135.73,1.0,over_65,F,95.0,6.0,afternoon_rush,0.0,1.0,not_motor_vehicle,none,24.0,1.0,1.0,roadside,0.0,0.0,2010.0,998.0,N/R,2.0,6.0,2.0,1,55.0,0
4,4,201010425922.0,0,201010425922.01.0,0.0,1.0,27.146,1.0,15_24,M,95.0,7.0,morning_rush,0.0,1.0,not_motor_vehicle,non_incap,42.0,1.0,1.0,roadside,0.0,0.0,2010.0,998.0,N/R,1.0,37.0,4.0,1,55.0,0
5,5,201010425929.0,0,201010425929.01.0,0.0,1.0,298.606,1.0,over_65,M,95.0,4.0,afternoon,0.0,1.0,angle,none,37.0,1.0,2.0,roadway,7.0,0.0,2010.0,998.0,N/R,78.0,24.0,8.0,1,32.0,0
6,6,201010425929.0,0,201010425929.02.0,0.0,1.0,298.606,1.0,25_34,M,95.0,4.0,afternoon,0.0,1.0,angle,none,37.0,1.0,2.0,roadway,7.0,0.0,2010.0,998.0,N/R,79.0,48.0,1.0,1,32.0,0
7,7,201010425938.0,0,201010425938.01.0,92.0,1.0,135.73,1.0,15_24,F,95.0,2.0,afternoon_rush,0.0,1.0,rear_end,possible,33.0,1.0,1.0,roadway,0.0,0.0,2010.0,998.0,N/R,28.0,35.0,2.0,3,32.0,1
8,8,201010425938.0,0,201010425938.02.0,0.0,1.0,135.73,1.0,15_24,M,95.0,2.0,afternoon_rush,0.0,1.0,rear_end,possible,33.0,1.0,1.0,roadway,0.0,0.0,2010.0,998.0,N/R,29.0,35.0,2.0,2,32.0,0
9,9,201010425938.0,0,201010425938.03.0,0.0,1.0,135.73,1.0,over_65,F,95.0,2.0,afternoon_rush,0.0,1.0,rear_end,possible,33.0,1.0,1.0,roadway,0.0,0.0,2010.0,0.0,N/R,98.0,32.0,2.0,2,27.0,0
10,10,201010425942.0,0,201010425942.01.0,97.0,1.0,54.292,1.0,over_65,M,95.0,2.0,afternoon,0.0,1.0,rear_end,possible,47.0,1.0,3.0,roadway,2.0,0.0,2010.0,998.0,N/R,20.0,48.0,2.0,1,32.0,1
